Text,entities,entity_types,UniNER
"However , using a too simple function , such as T[i] = 255-i , partly defeats the usability as a hash function as anagrams will result in the same hash value ; using a too complex function , on the other hand , will affect speed negatively .","['hash function', 'hash value']","['Error_Name', 'Error_Name']","defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
"Apple released the first beta version exclusively on Mac OS X the same day . On Mac OS X v10.3 , Safari was pre-installed as the system 's default browser , rather than requiring a manual download , as was the case with the previous Mac OS X versions . Safari 's predecessor , the Internet Explorer for Mac , was then included in 10.3 as an alternative . In April 2005 , Engineer Dave Hyatt fixed several bugs in Safari .","['Mac OS X', 'Mac OS X v10.3', 'browser', 'Mac OS X', 'Internet Explorer for Mac', '10.3', 'bugs']","['Device', 'Operating_System', 'Application', 'Device', 'Protocol', 'Operating_System', 'Error_Name']","defaultdict(<class 'list'>, {'Operating_System': ['[""Mac OS X""]'], 'Protocol': ['[]'], 'Error_Name': ['[]'], 'Device': ['[]'], 'Application': ['[""Safari"", ""Internet Explorer""]']})"
"IBM introduced the IBM 3310 Direct Access Storage Device on January 30 , 1979 , for IBM 4331 midrange computers . The 3310 was a fixed-block architecture device , used on DOS/VSE and VM , the only S/370 operating systems that supported FBA devices . The IBM 3330 Direct Access Storage Facility , code-named Merlin , was introduced in June 1970 for use with the IBM System/370 and the IBM System 360/195 . Its removable disk packs hold 100MB ( 404×19× 13,030 bytes ) . A major advance introduced with the 3330 was the use of error correction , which makes the drives more reliable and reduced costs because small imperfections in the disk surface can be tolerated . The 1973 3330 Model 11 features IBM 3336-11 Disk Packs that held up to 200MB ( 808x19x 13,030 bytes ) . Up to three additional 3330 type DASD ( six drives ) can then be attached to a 3333 .","['Direct Access Storage Device', 'IBM 4331', 'midrange computers', 'fixed-block architecture', 'DOS/VSE', 'VM', 'S/370', 'IBM System/370', 'disk packs', 'error correction', 'disk', 'Disk Packs', 'DASD']","['Application', 'Device', 'Device', 'Device', 'Application', 'Application', 'Device', 'Device', 'Operating_System', 'Error_Name', 'Device', 'Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""DOS/VSE"", ""VM"", ""S/370""]'], 'Application': ['[]'], 'Error_Name': ['[]'], 'Device': ['[""IBM 3310 Direct Access Storage Device"", ""FBA devices"", ""IBM 3330 Direct Access Storage Facility"", ""removable disk packs"", ""1973 3330 Model 11"", ""IBM 3336-11 Disk Packs"", ""three additional 3330 type DASD"", ""six drives""]']})"
"Near the end of the 20th century , the year 2000 problem ( Y2K ) was the focus of significant COBOL programming effort , sometimes by the same programmers who had designed the systems decades before . Some studies attribute as much as "" 24% of Y2K software repair costs to Cobol "" .","['year 2000 problem', 'Y2K', 'Y2K']","['Error_Name', 'Error_Name', 'Error_Name']","defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
"In a book published in 1942 , Louise Dickinson Rich , speaking of a powered ice cutting machine , said , "" Ice sawing was suspended until the creator could be brought in to take the bugs out of his darling. """,['bugs'],['Error_Name'],"defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
"The game 's setting of Blackreef is based on the Faroe Islands and the Scottish Highlands as seen in Skyfall , and inspired by the styles of the Swinging Sixties and the approach used to depict the era in Guy Ritchie 's The Man from E .. To avoid making the game 's visuals appear too close to that of Dishonored , they took cues from color use in films like High Plains Drifter and Point Blank , using bright colors and designs to give the island an endless party atmosphere .","['Skyfall', 'Dishonored']","['Error_Name', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Error_Name': ['[]']})"
"The SIGCONT signal instructs the operating system to continue ( restart ) a process previously paused by the SIGSTOP or SIGTSTP signal . One important use of this signal is in job control in the Unix shell . The SIGFPE signal is sent to a process when an exceptional ( but not necessarily erroneous ) condition has been detected in the floating point or integer arithmetic hardware . This may include division by zero , floating point underflow or overflow , integer overflow , an invalid operation or an inexact computation . The SIGHUP signal is sent to a process when its controlling terminal is closed . It was originally designed to notify the process of a serial line drop ( a hangup ) . In modern systems , this signal usually means that the controlling pseudo or virtual terminal has been closed . Many daemons ( who have no controlling terminal ) interpret receipt of this signal as a request to reload their configuration files and flush/reopen their logfiles instead of exiting .","['SIGCONT', 'process', 'SIGSTOP', 'SIGTSTP', 'job control', 'Unix shell', 'SIGFPE', 'process', 'floating point', 'division by zero', 'floating point', 'integer overflow', 'SIGHUP', 'process', 'controlling terminal', 'process', 'pseudo or virtual terminal', 'daemons', 'controlling terminal']","['General_Concept', 'Operating_System', 'General_Concept', 'General_Concept', 'Operating_System', 'Application', 'General_Concept', 'Operating_System', 'Algorithm', 'Algorithm', 'Algorithm', 'Error_Name', 'General_Concept', 'Operating_System', 'General_Concept', 'Operating_System', 'Application', 'Operating_System', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[""SIGCONT"", ""SIGSTOP"", ""SIGTSTP"", ""SIGFPE"", ""SIGHUP""]'], 'Error_Name': ['[]'], 'Application': ['[]'], 'Algorithm': ['[]'], 'General_Concept': ['[]']})"
"A common solution is to associate each data point with its own centre , although this can expand the linear system to be solved in the final layer and requires shrinkage techniques to avoid overfitting .",['overfitting'],['Error_Name'],"defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
2016-01-27 A new version of SAM ( v3.2 ) and numerous bug fixes and efficiency improvements .,['bug'],['Error_Name'],"defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
"In serial communication contexts , parity is usually generated and checked by interface hardware ( e.g. , a UART ) and , on reception , the result made available to a processor such as the CPU ( and so too , for instance , the operating system ) via a status bit in a hardware register in the interface hardware .","['serial communication', 'parity', 'interface', 'hardware', 'operating system', 'hardware register', 'interface', 'hardware']","['Protocol', 'Error_Name', 'Application', 'Architecture', 'General_Concept', 'General_Concept', 'Application', 'Architecture']","defaultdict(<class 'list'>, {'Protocol': ['[""serial communication""]'], 'Error_Name': ['[]'], 'Application': ['[]'], 'Architecture': ['[]'], 'General_Concept': ['[]']})"
"In machine learning problems , a major problem that arises is that of overfitting .",['overfitting'],['Error_Name'],"defaultdict(<class 'list'>, {'Error_Name': ['[]']})"
"Traversing all metadata and data on a large RAID takes many hours , which is exactly what scrub does .","['RAID', 'scrub']","['Architecture', 'Error_Name']","defaultdict(<class 'list'>, {'Error_Name': ['[]'], 'Architecture': ['[]']})"
"However , its use is not mandatory and audio can still be played and mixed together without PulseAudio .",['PulseAudio'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
AHI became a widely supported standard for audio hardware and audio software on Amiga systems and was officially included in later operating system releases .,"['AHI', 'Amiga', 'operating system']","['Library', 'Device', 'General_Concept']","defaultdict(<class 'list'>, {'Library': ['[]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"They are in QuickTime ( .mov ) format . The camera uses 4 AA batteries , which can be rechargeable .","['QuickTime', 'AA batteries']","['Application', 'Library']","defaultdict(<class 'list'>, {'Library': ['[]'], 'Application': ['[""QuickTime""]']})"
"In June 2018 , Apple deprecated OpenGL APIs on all of their platforms ( iOS , macOS and tvOS ) , strongly encouraging developers to use their proprietary Metal API , which was introduced in 2014 .","['deprecated', 'OpenGL', 'APIs', 'iOS', 'macOS', 'tvOS', 'Metal API']","['General_Concept', 'Application', 'Application', 'Application', 'Application', 'Operating_System', 'Library']","defaultdict(<class 'list'>, {'Operating_System': ['[""iOS"", ""macOS"", ""tvOS""]'], 'Application': ['[]'], 'General_Concept': ['[]'], 'Library': ['[]']})"
"COBOL was intended to be a highly portable , "" common "" language . One source of dialects was the standard itself : the 1974 standard was composed of one mandatory nucleus and eleven functional modules , each containing two or three levels of support . Jean Sammet , a short-range committee member , noted that "" little attempt was made to cater to the professional programmer , in fact people whose main interest is programming tend to be very unhappy with COBOL "" which she attributed to COBOL 's verbose syntax . By 1985 , there were twice as many books on FORTRAN and four times as many on BASIC as on COBOL in the Library of Congress . Donald Nelson , chair of the CODASYL COBOL committee , said in 1984 that "" academics ... hate COBOL "" and that computer science graduates "" had ' hate COBOL ' drilled into them "" .","['portable', 'modules', 'fact', 'FORTRAN', 'Library', 'CODASYL']","['Architecture', 'Architecture', 'Language', 'Application', 'Library', 'Language']","defaultdict(<class 'list'>, {'Library': ['[""Library of Congress""]'], 'Language': ['[""COBOL"", ""FORTRAN"", ""BASIC""]'], 'Application': ['[]'], 'Architecture': ['[]']})"
"As TensorFlow 's market share among research papers was declining to the advantage of PyTorch , the TensorFlow Team announced a release of a new major version of the library in September 2019 .","['TensorFlow', 'PyTorch', 'TensorFlow', 'library']","['Language', 'Algorithm', 'Language', 'Library']","defaultdict(<class 'list'>, {'Library': ['[""TensorFlow"", ""PyTorch""]'], 'Language': ['[]'], 'Algorithm': ['[]']})"
"Stanton added an ASIO driver , and MIDI capabilities .",['ASIO'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
"Indirect detectors are made up of a scintillator to convert x-rays to visible light , which is read by a TFT array .",['x-rays'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
"It can surface new business issues , the queries are much faster , and the accuracy is higher than the phonetic approach .",['queries'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
Other low-latency methods that allow byte-grain access to data also qualify . Persistent memory capabilities extend beyond non-volatility of stored bits .,['Persistent memory'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
The executable output by the linker may need another relocation pass when it is finally loaded into memory ( just before execution ) .,"['executable', 'output', 'linker', 'relocation', 'memory']","['Application', 'General_Concept', 'Application', 'Library', 'General_Concept']","defaultdict(<class 'list'>, {'Library': ['[]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
The Data Reference Model ( DRM ) is one of the five reference models of the Federal Enterprise Architecture .,"['Data Reference Model', 'Federal Enterprise Architecture']","['General_Concept', 'Library']","defaultdict(<class 'list'>, {'Library': ['[]'], 'General_Concept': ['[]']})"
A standard for persistent memory known as NVDIMM-P has been published in 2021 .,['persistent memory'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
"While the low-level layer was written manually in C , the high-level layer is automatically generated from a description of the elements of the protocol stored in XML format . Every time the protocol description of this XML file changes , the C source code that implements such protocol can be regenerated to include the new changes , allowing a very flexible , extensible and error-proof protocol . The reference implementation of Wayland protocol is split in two libraries : a library to be used by Wayland clients called libwayland-client and a library to be used by Wayland compositors called libwayland-server .","['C', 'XML', 'XML', 'C', 'Wayland', 'libraries', 'Wayland', 'Wayland']","['Language', 'Protocol', 'Protocol', 'Language', 'Language', 'Library', 'Language', 'Language']","defaultdict(<class 'list'>, {'Protocol': ['[""Wayland protocol""]'], 'Language': ['[""C""]'], 'Library': ['[""libwayland-client"", ""libwayland-server""]']})"
"Kotlin 1.3 added support for contracts , which are stable for the standard library declarations , but still experimental for user-defined declarations .","['Kotlin', 'standard library']","['Language', 'Library']","defaultdict(<class 'list'>, {'Library': ['[""standard library""]'], 'Language': ['[""Kotlin""]']})"
The idea of a computer library dates back to the first computers created by Charles Babbage .,['computer library'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[""computer library""]']})"
"It runs on any WebGL - or Canvas-enabled browser , and features exclusive content when played on Chrome , such as exclusive levels and the so-called "" Chrome Bombs "" .","['WebGL', 'Chrome', 'Chrome']","['Library', 'Application', 'Application']","defaultdict(<class 'list'>, {'Library': ['[]'], 'Application': ['[]']})"
"An abstracting service is a service that provides abstracts of publications , often on a subject or group of related subjects , usually on a subscription basis .",['abstracting service'],['Library'],"defaultdict(<class 'list'>, {'Library': ['[]']})"
Early applications of WebGL include Zygote Body .,"['WebGL', 'Zygote Body']","['Library', 'Application']","defaultdict(<class 'list'>, {'Library': ['[""WebGL""]'], 'Application': ['[""Zygote Body""]']})"
"In July 2016 , the source code was uploaded by MADE to GitHub under MIT license for open review .","['GitHub', 'MIT license']","['Application', 'License']","defaultdict(<class 'list'>, {'License': ['[""MIT""]'], 'Application': ['[]']})"
"FrostWire , a BitTorrent client ( formerly a Gnutella client ) , is a collaborative , open-source project licensed under the GPL-3.0-or-later license .","['FrostWire', 'BitTorrent', 'Gnutella', 'GPL-3.0-or-later']","['Protocol', 'Protocol', 'Protocol', 'License']","defaultdict(<class 'list'>, {'Protocol': ['[""BitTorrent"", ""Gnutella""]'], 'License': ['[""GPL-3.0-or-later""]']})"
Magic Lantern is a free and open source software add-on that runs from a camera ’s SD/CF card .,"['Magic Lantern', 'free and open source software']","['Device', 'License']","defaultdict(<class 'list'>, {'License': ['[]'], 'Device': ['[""camera""]']})"
Raise awareness at the government and business levels on the potential and viability of open source solutions and applications as solid alternatives to proprietary software .,"['open source', 'proprietary software']","['License', 'Application']","defaultdict(<class 'list'>, {'License': ['[]'], 'Application': ['[""applications""]']})"
"This has led to the game being included in the Fedora software repository , which downloads the free source port engine used as well as a free installer which downloads the shareware version 's data .",['shareware'],['License'],"defaultdict(<class 'list'>, {'License': ['[""shareware""]']})"
"Due to the free-software nature of older NX releases , the FreeNX project was started to provide wrapper scripts for the GPL NX libraries .","['NX', 'FreeNX', 'GPL', 'NX']","['Application', 'Application', 'License', 'Application']","defaultdict(<class 'list'>, {'License': ['[""GPL""]'], 'Application': ['[]']})"
The WTFPL is a permissive free software license .,"['WTFPL', 'permissive free software license']","['License', 'License']","defaultdict(<class 'list'>, {'License': ['[""WTFPL""]']})"
It was developed by Peter Tattam from Trumpet Software International and distributed as shareware software .,"['Peter Tattam', 'distributed', 'shareware']","['Protocol', 'Application', 'License']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'License': ['[""shareware""]'], 'Application': ['[]']})"
An Open Source suite of tools developed by D-Wave .,['Open Source'],['License'],"defaultdict(<class 'list'>, {'License': ['[]']})"
"It is written in Perl , with some popular accessories in C . It is released under a free software licence ( Perl Artistic Licence or GPL ) .","['Perl', 'C', 'free software licence', 'Perl Artistic Licence', 'GPL']","['Language', 'Language', 'License', 'License', 'License']","defaultdict(<class 'list'>, {'License': ['[""Perl Artistic Licence"", ""GPL""]'], 'Language': ['[""Perl"", ""C""]']})"
It can be used to control Lego NXT robots over a Bluetooth serial port ( serial port communication is part of the base functionality of MATLAB ) or via a USB connection ; for example using the RWTH – Mindstorms NXT Toolbox ( free & open-source ) .,"['Lego NXT', 'robots', 'Bluetooth', 'MATLAB', 'USB', 'Mindstorms NXT', 'open-source']","['Application', 'Device', 'Protocol', 'Language', 'Protocol', 'Application', 'License']","defaultdict(<class 'list'>, {'Protocol': ['[""Bluetooth"", ""USB""]'], 'Device': ['[""Lego NXT robots""]'], 'Application': ['[]'], 'License': ['[]'], 'Language': ['[]']})"
Leela Zero is a free and open-source computer Go program released on 25 October 2017 .,"['Leela Zero', 'free and open-source', 'computer Go']","['Application', 'License', 'Application']","defaultdict(<class 'list'>, {'License': ['[]'], 'Application': ['[]']})"
The GPL licensed gzip was replaced by retooling the existing compress tool to include its functionality .,"['GPL', 'gzip', 'compress']","['License', 'Application', 'Device']","defaultdict(<class 'list'>, {'License': ['[""GPL""]'], 'Application': ['[]'], 'Device': ['[]']})"
"In the beginning of 2008 the decision was made , to free most parts of the software under GPL .",['GPL'],['License'],"defaultdict(<class 'list'>, {'License': ['[""GPL""]']})"
"Dolphin is a free and open-source video game console emulator for GameCube and Wii that runs on Windows , Linux , macOS , and Android .","['Dolphin', 'free and open-source', 'video game console', 'GameCube', 'Wii', 'Windows', 'Linux', 'macOS', 'Android']","['Application', 'License', 'Application', 'Application', 'Operating_System', 'Application', 'Application', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Windows"", ""Linux"", ""macOS"", ""Android""]'], 'License': ['[]'], 'Application': ['[]']})"
GTK ( formerly GTK+ ) is a free and open-source cross-platform widget toolkit for creating graphical user interfaces ( GUIs ) .,"['GTK', 'GTK+', 'free and open-source', 'cross-platform', 'widget toolkit', 'graphical user interfaces', 'GUIs']","['Application', 'Application', 'License', 'Operating_System', 'Library', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""cross-platform""]'], 'License': ['[]'], 'Application': ['[]'], 'Library': ['[""GTK""]']})"
"The Free edition is freeware , with source code access available for purchase .",['freeware'],['License'],"defaultdict(<class 'list'>, {'License': ['[""freeware""]']})"
"Similarly , references to virtual memory locations not present in main memory cause page faults , which again were handled by control program rather than reflected to the virtual machine .","['virtual memory', 'page faults', 'virtual machine']","['Architecture', 'General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[]']})"
"On November 10 , 2015 , Qualcomm Detailed Snapdragon 820 Smartphone SoC which is the first chip in the series to support 4K HEVC 10bit decoding .","['Snapdragon', '4K', 'HEVC']","['Architecture', 'Device', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'Architecture': ['[]'], 'Device': ['[""Smartphone""]']})"
"Although such experiments are relatively easy to perform , their mathematical formulation is far from simple : there may be more than one locally minimizing surface , and they may have non-trivial topology .",['topology'],['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
"R430 was unable to reach high clock speeds , being mainly designed to reduce the cost per graphics processing unit ( GPU ) , and so a new top-of-the-line core was still needed .","['graphics processing unit', 'GPU']","['Architecture', 'Architecture']","defaultdict(<class 'list'>, {'Architecture': ['[]']})"
U-Net is a convolutional neural network which takes as input an image and outputs a label for each pixel .,"['U-Net', 'convolutional neural network', 'pixel']","['Application', 'Architecture', 'Algorithm']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Algorithm': ['[""U-Net"", ""convolutional neural network""]'], 'Architecture': ['[""convolutional neural network""]']})"
The advice-related component of an aspect-oriented language defines a join point model ( JPM ) .,"['aspect-oriented language', 'join point']","['Architecture', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Architecture': ['[]']})"
"Communication cost often dominates the computation cost , and many MapReduce implementations are designed to write all communication to distributed storage for crash recovery .","['MapReduce', 'distributed']","['Operating_System', 'Architecture']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Architecture': ['[]']})"
"Namely , an inductive Turing machine produces output from time to time and once this output stops changing , it is considered the result of the computation .",['Turing machine'],['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
"In May 2005 , Intel released dual-core processors under the Pentium D and Pentium Extreme Edition brands .","['dual-core processors', 'Pentium D', 'Pentium Extreme Edition']","['Architecture', 'Device', 'Device']","defaultdict(<class 'list'>, {'Architecture': ['[]'], 'Device': ['[]']})"
Use cases are often written in natural languages with structured templates .,['Use cases'],['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
A custom-designed network co-processor implemented on Xilinx Virtex-5 FPGAs is used to connect the compute nodes .,['FPGAs'],['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
DFAs are equivalent to read-only right moving Turing machines .,"['DFAs', 'Turing machines']","['General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[]']})"
"Although the Cell blades account for the required computing power , it 's the high data throughput of the mainframe which is of particular interest .","['Cell', 'mainframe']","['General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[""data throughput""]'], 'Architecture': ['[]']})"
"libraries , such as the ' streams ' library that enables one to make the complete , infinite Fibonacci sequence , for example , using the special blocks (  ' stream ' , ' show stream ' , ' tail of stream ' , and ' map ( ) over stream ' block ) from the library .","[""' streams '""]",['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
"It is an important proof technique in set theory , topology and other fields . Proofs by transfinite induction typically distinguish three cases :","['topology', 'transfinite induction']","['Architecture', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'Architecture': ['[]']})"
"8 MP ( front camera ) Sony Xperia XZ PremiumSnapdragon 835Quad-core 2.45 GHz Kryo 280 + Quad-core 1.9 GHz Kryo 280Adreno 54064 GBUp to 256 GB4 GBAndroid 7.1 "" Nougat "" 156 x 77 x 7.9 mm195 g3230 mAh Li-ion non-removable battery5.46 "" , 3840×216019 MP ( rear camera ) ,","['Sony Xperia XZ', 'Kryo', 'Quad-core', 'Kryo', 'Nougat']","['Application', 'Application', 'Architecture', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Architecture': ['[]']})"
Script Creation Utility for Maniac Mansion Virtual Machine ( ScummVM ) is a set of game engine recreations .,"['Script Creation Utility for Maniac Mansion', 'Virtual Machine', 'ScummVM']","['Application', 'Architecture', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
"He envisioned a game that would feature illustrations of every scene , and developed a prototype called "" Secrets of the Lost Woods "" ( a small section of his larger Shadoan game ) that used a roll of printing calculator tape that could be wound forward and backward via microprocessor to show illustrations and information drawn on its surface .","['calculator', 'microprocessor']","['Application', 'Architecture']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Architecture': ['[]']})"
"Most organically-shaped models , especially those that are animated or used in real-time applications , must be created with clean topology to render and perform with good results .",['topology'],['Architecture'],"defaultdict(<class 'list'>, {'Architecture': ['[]']})"
